,S,I,R
757,184.0,82.0,134.0
758,183.0,83.0,134.0
759,183.0,83.0,134.0
760,183.0,83.0,134.0
761,183.0,83.0,134.0
762,183.0,83.0,134.0
763,183.0,83.0,134.0
764,183.0,83.0,134.0
765,183.0,83.0,134.0
766,183.0,82.0,135.0
767,183.0,82.0,135.0
768,183.0,82.0,135.0
769,183.0,82.0,135.0
770,183.0,82.0,135.0
771,183.0,82.0,135.0
772,183.0,82.0,135.0
773,183.0,82.0,135.0
774,183.0,82.0,135.0
775,183.0,81.0,136.0
776,183.0,81.0,136.0
777,183.0,80.0,137.0
778,183.0,80.0,137.0
779,183.0,80.0,137.0
780,183.0,80.0,137.0
781,183.0,80.0,137.0
782,183.0,80.0,137.0
783,183.0,80.0,137.0
784,183.0,80.0,137.0
785,183.0,80.0,137.0
786,183.0,80.0,137.0
787,183.0,80.0,137.0
788,183.0,80.0,137.0
789,183.0,80.0,137.0
790,183.0,80.0,137.0
791,183.0,80.0,137.0
792,184.0,79.0,137.0
793,184.0,79.0,137.0
794,184.0,79.0,137.0
795,184.0,79.0,137.0
796,184.0,79.0,137.0
797,184.0,79.0,137.0
798,184.0,79.0,137.0
799,184.0,79.0,137.0
800,184.0,79.0,137.0
801,184.0,78.0,138.0
802,185.0,77.0,138.0
803,185.0,77.0,138.0
804,185.0,77.0,138.0
805,184.0,77.0,139.0
806,184.0,77.0,139.0
807,183.0,78.0,139.0
808,183.0,78.0,139.0
809,183.0,78.0,139.0
810,183.0,77.0,140.0
811,183.0,77.0,140.0
812,183.0,77.0,140.0
813,182.0,78.0,140.0
814,182.0,78.0,140.0
815,182.0,78.0,140.0
816,182.0,78.0,140.0
817,182.0,78.0,140.0
818,182.0,78.0,140.0
819,182.0,78.0,140.0
820,181.0,79.0,140.0
821,181.0,79.0,140.0
822,181.0,79.0,140.0
823,181.0,79.0,140.0
824,181.0,79.0,140.0
825,181.0,79.0,140.0
826,181.0,79.0,140.0
827,181.0,79.0,140.0
828,181.0,78.0,141.0
829,181.0,78.0,141.0
830,181.0,78.0,141.0
831,181.0,78.0,141.0
832,181.0,77.0,142.0
833,181.0,77.0,142.0
834,181.0,77.0,142.0
835,180.0,78.0,142.0
836,180.0,78.0,142.0
837,179.0,78.0,143.0
838,179.0,78.0,143.0
839,179.0,78.0,143.0
840,179.0,78.0,143.0
841,179.0,77.0,144.0
842,179.0,77.0,144.0
843,179.0,77.0,144.0
844,179.0,77.0,144.0
845,179.0,77.0,144.0
846,179.0,77.0,144.0
847,179.0,77.0,144.0
848,179.0,77.0,144.0
849,179.0,77.0,144.0
850,179.0,76.0,145.0
851,179.0,76.0,145.0
852,179.0,76.0,145.0
853,179.0,76.0,145.0
854,180.0,75.0,145.0
855,180.0,75.0,145.0
856,180.0,75.0,145.0
857,179.0,76.0,145.0
858,179.0,76.0,145.0
859,179.0,76.0,145.0
860,179.0,75.0,146.0
861,179.0,75.0,146.0
862,179.0,75.0,146.0
863,179.0,75.0,146.0
864,179.0,75.0,146.0
865,180.0,74.0,146.0
866,180.0,74.0,146.0
